Country or territory (Territories without full sovereignty in italics) [2] ,Total length of land borders ,Total length of land borders ,No. of unique land borders ,No. of unique land neighbours ,Land border neighboursand border length (Territories without full sovereignty in italics) [2](#) = No. of unique land boundaries with that country or territory 
Country or territory (Territories without full sovereignty in italics) [2] ,km[3] ,mi ,No. of unique land borders ,No. of unique land neighbours ,Land border neighboursand border length (Territories without full sovereignty in italics) [2](#) = No. of unique land boundaries with that country or territory 
 Panama ,555 ,345 ,2 ,2 ,Includes:  Colombia: 225 km (140 mi) Costa Rica: 330 km (210 mi) 
 Papua New Guinea ,820 ,510 ,1 ,1 ,Includes:  Indonesia: 820 km (510 mi) 
 Paraguay ,"3,920 ","2,440 ",3 ,3 ,"Includes:  Argentina: 1,880 km (1,170 mi) Bolivia: 750 km (470 mi) Brazil: 1,290 km (800 mi) "
 Peru ,"5,536 ","3,440 ",5 ,5 ,"Includes:  Bolivia: 900 km (560 mi) Brazil: 1,560 km (970 mi) Chile: 160 km (99 mi) Colombia: 1,496 km (930 mi) Ecuador: 1,420 km (880 mi) "
 Philippines ,0 ,0 ,0 ,0 , 
 Poland ,"2,788 ","1,732 ",7 ,7 ,Includes:  Belarus: 407 km (253 mi) Czech Republic: 658 km (409 mi) Germany: 456 km (283 mi) Lithuania: 91 km (57 mi) Russia:[35] 206 km (128 mi) Slovakia: 444 km (276 mi) Ukraine: 526 km (327 mi) 
 Portugal ,"1,214 ",754 ,1 ,1 ,"Includes:  Spain: 1,214 km (754 mi) "
 Qatar ,60 ,37 ,1 (2) ,1 (2) ,Includes:  Saudi Arabia: 60 km (37 mi) 
 Romania ,"2,508 ","1,558 ",6 ,5 ,Includes:  Bulgaria: 608 km (378 mi) Hungary: 443 km (275 mi) Moldova: 450 km (280 mi) Serbia: 476 km (296 mi) Ukraine (2): 531 km (330 mi)[40] 
 Russia ,"20,017 ","12,438 ",16 ,14 ,"Includes:  Azerbaijan: 284 km (176 mi) Belarus: 959 km (596 mi) People's Republic of China (2): 3,645 km (2,265 mi) Estonia: 294 km (183 mi) Finland (2): 1,340 km (830 mi) Georgia: 723 km (449 mi) Kazakhstan: 6,846 km (4,254 mi) North Korea: 19 km (12 mi) Latvia: 217 km (135 mi) Lithuania:[35] 227 km (141 mi) Mongolia: 3,485 km (2,165 mi) Norway: 196 km (122 mi) Poland:[35] 206 km (128 mi) Ukraine: 1,576 km (979 mi) South Ossetia: 74 km (46 mi) Abkhazia: 241 km (150 mi) "
 Rwanda ,893 ,555 ,4 ,4 ,Includes:  Burundi: 290 km (180 mi) Democratic Republic of the Congo: 217 km (135 mi) Tanzania: 217 km (135 mi) Uganda: 169 km (105 mi) 
 Saint Kitts and Nevis ,0 ,0 ,0 ,0 , 
 Saint Lucia ,0 ,0 ,0 ,0 , 
 Saint Vincent and the Grenadines ,0 ,0 ,0 ,0 , 
 Samoa ,0 ,0 ,0 ,0 , 
 San Marino ,39 ,24 ,1 ,1 ,Includes:  Italy: 39 km (24 mi) 
 São Tomé and Príncipe ,0 ,0 ,0 ,0 , 
 Saudi Arabia ,"4,431 ","2,753 ",7 ,7 ,"Includes:  Iraq: 814 km (506 mi) Jordan: 744 km (462 mi) Kuwait: 222 km (138 mi) Oman: 676 km (420 mi) Qatar: 60 km (37 mi) United Arab Emirates: 457 km (284 mi) Yemen: 1,458 km (906 mi) "
 Senegal ,"2,640 ","1,640 ",5 ,5 ,Includes:  The Gambia: 740 km (460 mi) Guinea: 330 km (210 mi) Guinea-Bissau: 338 km (210 mi) Mali: 419 km (260 mi) Mauritania: 813 km (505 mi) 
 Serbia ,"2,027 ","1,260 ",8 ,8 ,Includes:  Bosnia and Herzegovina (2):[14] 302 km (188 mi) Bulgaria: 318 km (198 mi) Croatia: 241 km (150 mi) Hungary: 151 km (94 mi) Kosovo:[4] 352 km (219 mi) Montenegro: 124 km (77 mi) North Macedonia: 62 km (39 mi) Romania: 476 km (296 mi) 
 Seychelles ,0 ,0 ,0 ,0 , 
 Sierra Leone ,958 ,595 ,2 ,2 ,Includes:  Guinea: 652 km (405 mi) Liberia: 306 km (190 mi) 
 Singapore ,0 ,0[41] ,0[41] ,0[41] , 
 Slovakia ,"1,524 ",947 ,5 ,5 ,Includes:  Austria: 91 km (57 mi) Czech Republic: 215 km (134 mi) Hungary: 677 km (421 mi) Poland: 444 km (276 mi) Ukraine: 97 km (60 mi) 
 Slovenia ,"1,334 ",829 ,4 ,4 ,Includes:  Austria: 330 km (210 mi) Croatia: 670 km (420 mi) Italy: 232 km (144 mi) Hungary: 102 km (63 mi) 
 Solomon Islands ,0 ,0 ,0 ,0 , 
 Somalia ,"2,340 ","1,450 ",3 ,3 ,"Includes:  Djibouti: 61 km (38 mi) Ethiopia: 1,600 km (990 mi) Kenya: 682 km (424 mi) "
 South Africa ,"4,862 ","3,021 ",6 ,6 ,"Includes:  Botswana: 1,840 km (1,140 mi) Eswatini (Swaziland): 430 km (270 mi) Lesotho: 909 km (565 mi) Mozambique (2): 491 km (305 mi) Namibia: 967 km (601 mi) Zimbabwe: 225 km (140 mi) "
 South Ossetia[42] ,466 ,290 ,2 ,2 ,Includes:  Russia: 74 km (46 mi) Georgia: 334 km (208 mi) 
 South Sudan ,"4,797 ","2,981 ",6 ,6 ,"Includes:  Central African Republic: 682 km (424 mi) Democratic Republic of the Congo: 628 km (390 mi) Ethiopia: 883 km (549 mi) Kenya: 232 km (144 mi) Sudan: 1,937 km (1,204 mi) Uganda: 435 km (270 mi) "
 Spain ,"1,918 ","1,192 ",9 ,5 ,"Includes:  Andorra: 63.7 km (39.6 mi) France (3):[26] 623 km (387 mi) Gibraltar: (United Kingdom) 1.2 km (0.75 mi) Portugal: 1,214 km (754 mi) Morocco (3): 17 km (11 mi)[37] "
 Sri Lanka ,0 ,0 ,0 ,0 , 
 Sudan ,"6,764 ","4,203 ",7 ,7 ,"Includes:  Central African Republic: 483 km (300 mi) Chad: 1,360 km (850 mi) Egypt: 1,273 km (791 mi) Eritrea: 605 km (376 mi) Ethiopia: 723 km (449 mi) Libya: 383 km (238 mi) South Sudan: 1,937 km (1,204 mi) "
 Suriname ,"1,707 ","1,061 ",3 ,3 ,Includes:  Brazil: 597 km (371 mi) French Guiana[15] (France): 510 km (320 mi) Guyana: 600 km (370 mi) 
 Sweden ,"2,233 ","1,388 ",5 ,2 ,"Includes:  Finland (4): 614 km (382 mi) (including 0.5 km and 2 border segments with Åland Islands) Norway: 1,619 km (1,006 mi) "
  Switzerland ,"1,852 ","1,151 ",8 ,5 ,Includes:  Austria (2): 164 km (102 mi) France: 573 km (356 mi) Italy (2):[32] 740 km (460 mi) Liechtenstein: 41 km (25 mi) Germany (2):[31] 334 km (208 mi) 
 Syria ,"2,253 ","1,400 ",6 ,5 ,Includes:  Iraq: 605 km (376 mi) Israel: 76 km (47 mi) Jordan: 375 km (233 mi) Lebanon: 375 km (233 mi) Turkey (2): 822 km (511 mi) 
 Tajikistan ,"3,651 ","2,269 ",4 ,4 ,"Includes:  Afghanistan: 1,206 km (749 mi) People's Republic of China: 414 km (257 mi) Kyrgyzstan (3):[33] 870 km (540 mi) Uzbekistan (2):[43] 1,161 km (721 mi) "
 Tanzania ,"3,861 ","2,399 ",8 ,8 ,Includes:  Burundi: 451 km (280 mi) Democratic Republic of the Congo: 459 km (285 mi) Kenya: 769 km (478 mi) Malawi: 475 km (295 mi) Mozambique: 756 km (470 mi) Rwanda: 217 km (135 mi) Uganda: 396 km (246 mi) Zambia: 338 km (210 mi) 
 Thailand ,"4,863 ","3,022 ",4 ,4 ,"Includes:  Cambodia: 803 km (499 mi) Laos: 1,754 km (1,090 mi) Malaysia: 506 km (314 mi) Myanmar: 1,800 km (1,100 mi) "
 Togo ,"1,647 ","1,023 ",3 ,3 ,Includes:  Benin: 644 km (400 mi) Burkina Faso: 126 km (78 mi) Ghana: 877 km (545 mi) 
 Tonga ,0 ,0 ,0 ,0 , 
 Trinidad and Tobago ,0 ,0 ,0 ,0 , 
 Tunisia ,"1,424 ",885 ,2 ,2 ,Includes:  Algeria: 965 km (600 mi) Libya: 459 km (285 mi) 
 Turkey ,"2,648 ","1,645 ",9 ,8 ,Includes:  Armenia: 268 km (167 mi) Azerbaijan:[10] 9 km (5.6 mi) Bulgaria: 240 km (150 mi) Georgia: 252 km (157 mi) Greece: 206 km (128 mi) Iran: 499 km (310 mi) Iraq: 352 km (219 mi) Syria (2): 822 km (511 mi) 
 Turkmenistan ,"3,736 ","2,321 ",4 ,4 ,"Includes:  Afghanistan: 744 km (462 mi) Iran: 992 km (616 mi) Kazakhstan: 379 km (235 mi) Uzbekistan: 1,621 km (1,007 mi) "
 Tuvalu ,0 ,0 ,0 ,0 , 
 Uganda ,"2,698 ","1,676 ",5 ,5 ,Includes:  Democratic Republic of the Congo: 765 km (475 mi) Kenya: 933 km (580 mi) Rwanda: 169 km (105 mi) South Sudan: 435 km (270 mi) Tanzania: 396 km (246 mi) 
 Ukraine ,"4,663 ","2,897 ",8 ,7 ,"Includes:  Belarus: 891 km (554 mi) Hungary: 103 km (64 mi) Moldova: 939 km (583 mi) Poland: 526 km (327 mi) Romania (2): 531 km (330 mi)[40] Russia: 1,576 km (979 mi) Slovakia: 97 km (60 mi) "
 United Arab Emirates ,867 ,539 ,5 (6) ,2 (3) ,Includes:  Oman (4): 410 km (250 mi) Saudi Arabia: 457 km (284 mi) 
 United Kingdom[44] ,499 ,310 ,1 ,1 ,Includes:  Ireland: 499 km (310 mi) 
" United Kingdom (plus British overseas territories and Crown dependencies) →including: → Akrotiri and Dhekelia→ Anguilla→ Bermuda→ British Indian Ocean Territory→ British Virgin Islands→ Cayman Islands→ Falkland Islands→ Gibraltar→ Guernsey→ Isle of Man→ Jersey→ Montserrat→ Pitcairn Islands→ Saint Helena, Ascension and Tristan da Cunha→ South Georgia and the South Sandwich Islands→ Turks and Caicos Islands ",513 ,319 ,7 ,3 ,Includes:  Cyprus (5):[22] 152 km (94 mi) Ireland: 499 km (310 mi) Spain: 1.2 km (0.75 mi) 
 United States ,"12,034 ","7,478 ",5 ,2 ,"Includes:  Canada (4): 8,893 km (5,526 mi)[16] Mexico: 3,141 km (1,952 mi) "
 Uruguay ,"1,564 ",972 ,2 ,2 ,Includes:  Argentina: 579 km (360 mi) Brazil: 985 km (612 mi) 
 Uzbekistan ,"6,221 ","3,866 ",5 ,5 ,"Includes:  Afghanistan: 137 km (85 mi) Kazakhstan: 2,203 km (1,369 mi) Kyrgyzstan (6):[34] 1,099 km (683 mi) Tajikistan (2):[43] 1,161 km (721 mi) Turkmenistan: 1,621 km (1,007 mi) "
 Vanuatu ,0 ,0 ,0 ,0 , 
  Vatican City ,3.2 ,2.0 ,1 ,1 ,Includes:  Italy: 3.2 km (2.0 mi) 
 Venezuela ,"4,993 ","3,103 ",3 ,3 ,"Includes:  Brazil: 2,200 km (1,400 mi) Colombia: 2,050 km (1,270 mi) Guyana: 743 km (462 mi) "
 Vietnam ,"4,639 ","2,883 ",3 ,3 ,"Includes:  Cambodia: 1,228 km (763 mi) People's Republic of China: 1,281 km (796 mi) Laos: 2,130 km (1,320 mi) "
 Western Sahara[5] ,"2,046 ","1,271 ",3 ,3 ,"Includes:  Algeria: 42 km (26 mi) Mauritania: 1,561 km (970 mi) Morocco: 443 km (275 mi) "
 Yemen ,"1,746 ","1,085 ",2 ,2 ,"Includes:  Oman: 288 km (179 mi) Saudi Arabia: 1,458 km (906 mi) "
 Zambia ,"5,667 ","3,521 ",8 ,8 ,"Includes:  Angola: 1,110 km (690 mi) Botswana: 0.15 km (0.093 mi) Democratic Republic of the Congo: 1,930 km (1,200 mi) Malawi: 837 km (520 mi) Mozambique: 419 km (260 mi) Namibia: 233 km (145 mi) Tanzania: 338 km (210 mi) Zimbabwe: 797 km (495 mi) "
 Zimbabwe ,"3,066 ","1,905 ",4 ,4 ,"Includes:  Botswana: 813 km (505 mi) Mozambique: 1,231 km (765 mi) South Africa: 225 km (140 mi) Zambia: 797 km (495 mi) "
